,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
101,@NYTimes,Sun Aug 26 17:15:05 +0000 2018,-0.56,0.0,0.187,0.813,"From ""The Odd Couple"" to ""Lost in Yonkers"", here's how New York Times reviewers saw Neil Simon's work through the d… https://t.co/8ZFAdka2fP",27
102,@NYTimes,Sun Aug 26 17:01:02 +0000 2018,0.42,0.157,0.0,0.843,"A popular Chinese ride-sharing app, Didi Chuxing, suspends its carpooling service after 2 female passengers were ki… https://t.co/PRExKxq50r",28
103,@NYTimes,Sun Aug 26 16:45:05 +0000 2018,-0.8,0.047,0.303,0.65,"RT @nytimesworld: While the police struggle to exert authority in a hippie commune in Copenhagen, the elders can expel those who violate lo…",29
104,@NYTimes,Sun Aug 26 16:30:09 +0000 2018,0.0,0.0,0.0,1.0,"A migrant smuggler's ""stash house"" may be a motel room, or an apartment, or a trailer. But it is always part of a b… https://t.co/BHgtIaUuLp",30
105,@NYTimes,Sun Aug 26 16:15:07 +0000 2018,0.0,0.0,0.0,1.0,Most busy commuters aren't going to drive all 100 miles of New York State Route 25. But here's what they'd see and… https://t.co/QAtdf2uE0R,31
106,@NYTimes,Sun Aug 26 16:00:14 +0000 2018,0.0,0.0,0.0,1.0,"In @nytopinion,
Op-Ed columnist @NickKristof writes, ""In the courage-free zone known as Congress, McCain showed tha… https://t.co/Ru38tkZf5p",32
107,@NYTimes,Sun Aug 26 15:57:23 +0000 2018,0.1,0.181,0.13,0.688,"Breaking News: The playwright Neil Simon died at 91. He was a master of Broadway comedy and beyond with hits like ""… https://t.co/km0VlqQu0L",33
108,@NYTimes,Sun Aug 26 15:50:02 +0000 2018,0.56,0.174,0.064,0.763,"""A great statesman."" ""A skilled, tough politician."" ""A patriot of the highest order."" World leaders react to the de… https://t.co/H1TR2RTuAd",34
109,@NYTimes,Sun Aug 26 15:45:05 +0000 2018,-0.81,0.0,0.27,0.73,"From a prisoner of war in Vietnam to his runs for president and opposition to Trump, these were key moments of John… https://t.co/5hkg1CSpTX",35
110,@NYTimes,Sun Aug 26 15:31:05 +0000 2018,0.36,0.116,0.0,0.884,"In @nytopinion,
Op-Ed contributor Adam Grant writes, ""Although it's often said that those who can't do teach, the r… https://t.co/HsjIpkEsb3",36
111,@NYTimes,Sun Aug 26 15:20:04 +0000 2018,-0.3,0.0,0.121,0.879,"In Opinion

Op-Ed contributor Naka Nathaniel writes, ""Last Sunday, I did something that no properly raised Catholic… https://t.co/U34ari5cgM",37
112,@NYTimes,Sun Aug 26 15:15:07 +0000 2018,0.0,0.0,0.0,1.0,RT @nytpolitics: Reporters and editors at The New York Times had a backstage view of John McCain’s 35 years in Washington as a member of th…,38
113,@NYTimes,Sun Aug 26 15:00:07 +0000 2018,0.64,0.189,0.0,0.811,"Finland, Norway, Denmark, Iceland and Sweden regularly rank among the happiest countries in the world. But that doe… https://t.co/NSBI67F8Ce",39
114,@NYTimes,Sun Aug 26 14:45:05 +0000 2018,0.0,0.0,0.0,1.0,"The median survival term for glioblastoma, which John McCain learned he had last summer, is 12 to 18 months https://t.co/Y7OXj6h6eM",40
115,@NYTimes,Sun Aug 26 14:30:07 +0000 2018,-0.6,0.0,0.17,0.83,"Republican ads show scenes of a violent, anarchic dystopia that they say would result if Democrats take power in Co… https://t.co/s1OjtMuDaX",41
116,@NYTimes,Sun Aug 26 14:17:29 +0000 2018,-0.56,0.0,0.167,0.833,"Breaking News: An archbishop claimed that Pope Francis was complicit in covering up abuses by a U.S. prelate, cloud… https://t.co/FpfPTrEXtO",42
117,@NYTimes,Sun Aug 26 14:15:04 +0000 2018,0.0,0.0,0.0,1.0,"RT @nytimesworld: Follow our live updates as the pope wraps up his visit to Ireland, with activists calling for concrete action to stamp ou…",43
118,@NYTimes,Sun Aug 26 14:10:02 +0000 2018,0.7,0.254,0.0,0.746,"“Being among old growth trees feels as sacred as any cathedral.” Inspired by a poem, @rfremson immersed herself in… https://t.co/Y4uAoxcugI",44
119,@NYTimes,Sun Aug 26 14:00:05 +0000 2018,0.0,0.0,0.0,1.0,"In his decision to keep Tesla public, Elon Musk cited 4 key factors that ultimately changed his mind. https://t.co/CKcndfVorb",45
120,@NYTimes,Sun Aug 26 13:45:09 +0000 2018,0.0,0.0,0.0,1.0,"In @NYTOpinion, 
Op-Ed contributor Anand Giridharadas writes, ""Even as they give back, American elites generally se… https://t.co/Ur5gKedMtm",46
121,@NYTimes,Sun Aug 26 13:30:35 +0000 2018,0.0,0.0,0.0,1.0,"John McCain will be the 13th former senator to lie in state at the Capitol Rotunda, and will  have a full dress fun… https://t.co/CwKEjXQ8XV",47
122,@NYTimes,Sun Aug 26 13:14:25 +0000 2018,0.0,0.0,0.0,1.0,"A Single Road With Many Names, Traversing Many Worlds https://t.co/BiGNmox7js",48
123,@NYTimes,Sun Aug 26 13:05:05 +0000 2018,0.88,0.359,0.0,0.641,"RT @nytopinion: ""We are a country with a conscience. ... Our values are our strength and greatest treasure."" — John McCain in 2017 https://…",49
124,@NYTimes,Sun Aug 26 12:55:21 +0000 2018,0.0,0.0,0.0,1.0,Police in Turkey Break Up Mothers’ Weekly Vigil https://t.co/vbbwMeDRFm,50
125,@NYTimes,Sun Aug 26 12:38:02 +0000 2018,-0.18,0.0,0.108,0.892,"A new psychological approach targets anxiety, PTSD and other mental disorders with concentrated, intensive therapy https://t.co/ChXvsSDBqD",51
126,@NYTimes,Sun Aug 26 12:21:58 +0000 2018,0.26,0.163,0.161,0.677,"""The Happytime Murders"" and ""Puppet Master: The Littlest Reich"" both have puppet casts, but you'd better leave your… https://t.co/i2rUBLMuGn",52
